carpark_number,update_datetime,total_lots,lots_available,lot_type,availability_rate,parking_pressure,risk_category,retrieved_at
HE12,2026-05-29T16:11:37,105,101,C,0.9619047619047619,0.03809523809523807,Low Risk,2026-05-29 16:12:59
HLM,2026-05-29T16:11:28,583,139,C,0.23842195540308747,0.7615780445969125,Medium Risk,2026-05-29 16:12:59
RHM,2026-05-29T16:11:37,329,190,C,0.5775075987841946,0.42249240121580545,Low Risk,2026-05-29 16:12:59
BM29,2026-05-29T16:11:13,96,1,C,0.010416666666666666,0.9895833333333334,High Risk,2026-05-29 16:12:59
Q81,2026-05-29T16:11:20,97,23,C,0.23711340206185566,0.7628865979381443,Medium Risk,2026-05-29 16:12:59
C20,2026-05-29T16:11:16,176,30,C,0.17045454545454544,0.8295454545454546,Medium Risk,2026-05-29 16:12:59
FR3M,2026-05-29T16:11:17,228,152,C,0.6666666666666666,0.33333333333333337,Low Risk,2026-05-29 16:12:59
ACE,2026-05-29T16:11:44,485,388,C,0.8,0.19999999999999996,Low Risk,2026-05-29 16:12:59
C6,2026-05-29T16:11:09,332,164,C,0.4939759036144578,0.5060240963855422,Low Risk,2026-05-29 16:12:59
TG2,2026-05-29T16:11:28,273,150,C,0.5494505494505495,0.4505494505494505,Low Risk,2026-05-29 16:12:59
BP1,2026-05-29T16:11:28,577,372,C,0.6447140381282496,0.35528596187175043,Low Risk,2026-05-29 16:12:59
TG1,2026-05-29T16:11:16,133,101,C,0.7593984962406015,0.24060150375939848,Low Risk,2026-05-29 16:12:59
TGM2,2026-05-29T16:11:28,189,146,C,0.7724867724867724,0.22751322751322756,Low Risk,2026-05-29 16:12:59
TE14,2026-05-29T16:11:26,105,65,C,0.6190476190476191,0.38095238095238093,Low Risk,2026-05-29 16:12:59
BM3,2026-05-29T16:11:27,5,0,C,0.0,1.0,High Risk,2026-05-29 16:12:59
W93,2026-05-29T16:09:02,375,299,C,0.7973333333333333,0.20266666666666666,Low Risk,2026-05-29 16:12:59
HG44,2026-05-29T16:10:30,155,14,C,0.09032258064516129,0.9096774193548387,High Risk,2026-05-29 16:12:59
HG64,2026-05-29T16:10:50,82,25,C,0.3048780487804878,0.6951219512195121,Low Risk,2026-05-29 16:12:59
PM27,2026-05-29T16:07:34,326,214,C,0.656441717791411,0.34355828220858897,Low Risk,2026-05-29 16:12:59
PM28,2026-05-29T16:10:41,309,175,C,0.5663430420711975,0.43365695792880254,Low Risk,2026-05-29 16:12:59
TM36,2026-05-29T16:09:36,225,139,C,0.6177777777777778,0.38222222222222224,Low Risk,2026-05-29 16:12:59
TM37,2026-05-29T16:09:42,244,160,C,0.6557377049180327,0.34426229508196726,Low Risk,2026-05-29 16:12:59
T50,2026-05-29T16:09:27,350,215,C,0.6142857142857143,0.3857142857142857,Low Risk,2026-05-29 16:12:59
T51,2026-05-29T16:10:54,346,173,C,0.5,0.5,Low Risk,2026-05-29 16:12:59
TM43,2026-05-29T16:10:57,247,184,C,0.7449392712550608,0.25506072874493924,Low Risk,2026-05-29 16:12:59
T15,2026-05-29T16:10:57,30,8,C,0.26666666666666666,0.7333333333333334,Medium Risk,2026-05-29 16:12:59
T16,2026-05-29T16:08:39,109,40,C,0.3669724770642202,0.6330275229357798,Low Risk,2026-05-29 16:12:59
T17,2026-05-29T16:10:53,228,103,C,0.4517543859649123,0.5482456140350878,Low Risk,2026-05-29 16:12:59
